Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
4-1BB	-0.999822289908543	0.0529275809746518	949.812822435398	-18.8903832651521	8.08220390076844e-68	fixedpositive	0	1.13587730497286e-67	1.13587730497286e-67	FDR < 0.05	0.374368118987773	-1.9997536566748
ARG1	-0.700445406410218	0.0420834154254147	947.88645185168	-16.6442148131164	9.14230263607779e-55	fixedpositive	0	1.15951155384401e-54	1.15951155384401e-54	FDR < 0.05	1.21834612767291	-1.62500640707515
B7-H3	-0.915206160518156	0.049322967931882	948.174983064572	-18.5553748870528	8.28595327257348e-66	fixedpositive	0	1.13386728993111e-65	1.13386728993111e-65	FDR < 0.05	3.10763422884685	-1.88583853812134
Bcl-2	-1.22544957972284	0.0383388953296458	949.378030445728	-31.9636121277404	9.04092232140647e-153	fixedpositive	0	2.76545859243021e-152	2.76545859243021e-152	FDR < 0.05	2.17934100847516	-2.33828305086125
Beta-2-microglobulin	-0.854897182066671	0.0324435516412742	947.686774125646	-26.3502957850978	3.06404087695088e-115	fixedpositive	0	6.63875523339358e-115	6.63875523339358e-115	FDR < 0.05	2.88330781139778	-1.80862985316783
CD11c	-1.37698498956877	0.0336302221272944	948.562753292366	-40.9448675169826	6.99062009108781e-212	fixedpositive	0	4.0390249415174e-211	4.0390249415174e-211	FDR < 0.05	4.81187930819071	-2.59725018239046
CD127	-0.970838157847342	0.0878609206526065	949.520041726572	-11.0497152845227	8.70304486511135e-27	fixedpositive	0	9.42829860387063e-27	9.42829860387063e-27	FDR < 0.05	0.0933899266131337	-1.95997894706603
CD14	-1.49122444651283	0.0399856074888612	948.781309005726	-37.2940300313866	3.75030780361105e-188	fixedpositive	0	1.77287277988886e-187	1.77287277988886e-187	FDR < 0.05	3.02261268710333	-2.81127472896308
CD163	-1.89694684326524	0.0539694819135802	948.826865295417	-35.1485094169103	5.55572418552309e-174	fixedpositive	0	2.40748048039334e-173	2.40748048039334e-173	FDR < 0.05	0.562266488535327	-3.72424205545262
CD20	-1.05565600251797	0.0345284965146796	948.71089148348	-30.5734714533302	1.96111841142653e-143	fixedpositive	0	5.09890786970898e-143	5.09890786970898e-143	FDR < 0.05	2.20918232030256	-2.0786631729695
CD25	-0.429565990673425	0.0344818256440649	948.585114980271	-12.4577507904476	4.21713120958105e-33	fixedpositive	0	4.66576218932372e-33	4.66576218932372e-33	FDR < 0.05	1.49266853039878	-1.34682834639109
CD27	-1.35692609785849	0.0513284306708222	951.33408688725	-26.4361501048159	6.55938395813925e-116	fixedpositive	0	1.48299115575322e-115	1.48299115575322e-115	FDR < 0.05	0.477718107440102	-2.5613885120161
CD3	-1.78516647937692	0.035494064693799	948.697203280655	-50.2947885731666	6.89071649306343e-270	fixedpositive	0	1.19439085879766e-268	1.19439085879766e-268	FDR < 0.05	2.39282866613414	-3.44658233327308
CD34	-1.07556277754071	0.0376226948832655	949.163456585052	-28.5881375823271	3.60776282531503e-130	fixedpositive	0	8.52743940529008e-130	8.52743940529008e-130	FDR < 0.05	5.89505350457022	-2.10754403851392
CD4	-1.56838703837028	0.0318289921483449	949.860570685984	-49.2754225789031	6.34502405105639e-264	fixedpositive	0	8.2485312663733e-263	8.2485312663733e-263	FDR < 0.05	8.06111336075485	-2.9657295426653
CD40	-1.18303176177586	0.0504544618878791	949.822183953831	-23.4475151950845	2.74404089979431e-96	fixedpositive	0	4.92034919963118e-96	4.92034919963118e-96	FDR < 0.05	0.484522805935585	-2.27053419088124
CD44	-2.53446724482331	0.0543844913316868	947.727536977566	-46.6027571971904	2.04720651952122e-247	fixedpositive	0	2.12909478030207e-246	2.12909478030207e-246	FDR < 0.05	17.0216099798731	-5.79362876495688
CD45	-1.91625082422946	0.0374261073237665	948.909585655151	-51.2009119102961	2.70829000898794e-275	fixedpositive	0	7.04155402336864e-274	7.04155402336864e-274	FDR < 0.05	10.5555121540314	-3.77440915817392
CD45RO	-1.047591935775	0.0325888961495018	948.75839112074	-32.1456710583005	5.84689463133012e-154	fixedpositive	0	1.90024075518229e-153	1.90024075518229e-153	FDR < 0.05	2.16026293301154	-2.06707672011338
CD56	-1.62428294232472	0.0408920254523235	945.35333726092	-39.7212640938632	9.81681929813565e-204	fixedpositive	0	5.10474603503054e-203	5.10474603503054e-203	FDR < 0.05	3.94438666815404	-3.08288899241747
CD66b	-1.29332679123339	0.0931979070914148	947.779391138991	-13.8772085296379	5.34984316978116e-40	fixedpositive	0	6.04764880062218e-40	6.04764880062218e-40	FDR < 0.05	0.336982931195558	-2.4509257709716
CD68	-1.06797708989926	0.0312972069033323	947.604260140488	-34.1237188736338	4.21143343506595e-167	fixedpositive	0	1.56424670445307e-166	1.56424670445307e-166	FDR < 0.05	5.32384698222378	-2.09649165833159
CD8	-1.43497564924577	0.0337703115092786	948.23444285585	-42.4922242381893	9.52462642004694e-222	fixedpositive	0	7.07543676917773e-221	7.07543676917773e-221	FDR < 0.05	5.44791388861174	-2.70377602956388
CD80	-0.975272266880599	0.0672960327382734	953.485289244693	-14.492269858962	3.66731766966126e-43	fixedpositive	0	4.23778930716413e-43	4.23778930716413e-43	FDR < 0.05	0.173959572659256	-1.96601218990941
CTLA4	-1.04358795190127	0.0537432577532795	949.924199321128	-19.4180255445641	5.39055478060691e-71	fixedpositive	0	7.7863569053211e-71	7.7863569053211e-71	FDR < 0.05	0.35881752405591	-2.06134781200334
EpCAM	2.10947988747054	0.0734116243691373	947.855923560703	28.734957244147	4.18977515027445e-131	fixedpositive	0	1.03746813244891e-130	1.03746813244891e-130	FDR < 0.05	21.5253078701679	4.31535691666383
ER-alpha	-1.12596411294627	0.0488963617800735	948.581711436398	-23.0275642594972	1.47377997062913e-93	fixedpositive	0	2.5545519490905e-93	2.5545519490905e-93	FDR < 0.05	0.644498533567882	-2.18247346438514
FAP-alpha	-1.10731304121393	0.0423166271633721	948.677426561575	-26.1673274890014	4.66673653270992e-114	fixedpositive	0	9.70681198803663e-114	9.70681198803663e-114	FDR < 0.05	0.921782891575578	-2.15444017993348
Fibronectin	-2.8575266551908	0.0541846264653591	947.129143065603	-52.7368525280441	4.54763797220374e-284	fixedpositive	0	2.36477174554594e-282	2.36477174554594e-282	FDR < 0.05	123.622412066566	-7.24771715724549
FOXP3	-0.114172603387618	0.0459964222365487	951.734826878073	-2.48220617682949	0.0132287005369683	fixedpositive	0	0.0132287005369683	0.0132287005369683	FDR < 0.05	0.443900018426349	-1.08235412914238
GITR	-1.03701907419437	0.0521586005138603	951.40272243195	-19.8820341032502	7.79150932201556e-74	fixedpositive	0	1.19164260219062e-73	1.19164260219062e-73	FDR < 0.05	0.242615792786693	-2.05198342022749
GZMB	-0.664131209033957	0.0369442071800238	947.960331743344	-17.9765993027741	2.12018783102569e-62	fixedpositive	0	2.82691710803425e-62	2.82691710803425e-62	FDR < 0.05	4.6122743849609	-1.58461373143417
Her2	0.784718349317064	0.0514611532141276	947.623928584156	15.2487517341845	4.07228804549779e-47	fixedpositive	0	4.92462740385779e-47	4.92462740385779e-47	FDR < 0.05	1.33195369930454	1.72275596091068
HLA-DR	-1.39684159446449	0.0416561245069615	949.315468701055	-33.532682432593	2.96412065779472e-163	fixedpositive	0	1.0275618280355e-162	1.0275618280355e-162	FDR < 0.05	9.61175941959926	-2.63324470232082
ICOS	-1.1254592863275	0.0440284147176929	950.387876790689	-25.562112411811	4.15409072079576e-110	fixedpositive	0	8.00047101782887e-110	8.00047101782887e-110	FDR < 0.05	0.610416559859815	-2.18170990873027
IDO1	-1.14967585290611	0.0686918559697382	948.843954333959	-16.7367126230014	2.72004195282752e-55	fixedpositive	0	3.53605453867577e-55	3.53605453867577e-55	FDR < 0.05	0.386946418396196	-2.2186404003579
Ki-67	-0.234959775445952	0.0402083006504445	949.741372870916	-5.84356393195033	7.01698540371123e-09	fixedpositive	0	7.1545733528036e-09	7.1545733528036e-09	FDR < 0.05	3.29852832869635	-1.17687392370838
LAG3	-1.15909790601468	0.0535575255937061	950.767164140409	-21.6421108549289	9.07651497666291e-85	fixedpositive	0	1.43023872359537e-84	1.43023872359537e-84	FDR < 0.05	0.29362247869799	-2.23317746956641
MART1	-0.409163447694683	0.0511005495306364	949.558434584472	-8.00702637159266	3.4200357683903e-15	fixedpositive	0	3.62942571339378e-15	3.62942571339378e-15	FDR < 0.05	0.417228688675318	-1.32791559381196
NY-ESO-1	-0.28510567586826	0.0394616679422864	950.344293027294	-7.22487646201965	1.02842802008862e-12	fixedpositive	0	1.06956514089216e-12	1.06956514089216e-12	FDR < 0.05	1.13556913456533	-1.21849951419219
OX40L	-1.25948020658103	0.0548590778613053	949.272240967596	-22.9584647734189	3.97726033090566e-93	fixedpositive	0	6.67153345829337e-93	6.67153345829337e-93	FDR < 0.05	1.54778355357116	-2.39409467745453
PanCk	2.74298559015693	0.0668318472172633	946.988494893639	41.0430910466947	2.20734833807406e-212	fixedpositive	0	1.43477641974814e-211	1.43477641974814e-211	FDR < 0.05	55.6921765707483	6.69454307508569
PD-1	-0.954812576208437	0.0368135955173889	948.052904387577	-25.9364118823284	1.6246135951101e-112	fixedpositive	0	3.2492271902202e-112	3.2492271902202e-112	FDR < 0.05	1.75927925151658	-1.93832780494229
