Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
4-1BB	0.0601267793117401	0.133009601135866	273.453420195928	0.45204841453755	0.651592468127201	fixedLGD	0	0.823677637613483	0.823677637613483	NS	0.374368118987773	1.04255737334073
ARG1	0.103588418383905	0.0983962249173499	328.151540699462	1.05276821820061	0.293221811272425	fixedLGD	0	0.689429629577859	0.689429629577859	NS	1.21834612767291	1.07444260501054
B7-H3	-0.0374909319851986	0.115922562901133	330.318499252208	-0.323413587889473	0.74658669297471	fixedLGD	0	0.843967565971411	0.843967565971411	NS	3.10763422884685	-1.02632733292163
Bcl-2	-0.105032512347866	0.11879421968845	332.63044267648	-0.884155076091446	0.377251121334033	fixedLGD	0	0.706643538132067	0.706643538132067	NS	2.17934100847516	-1.07551862790241
Beta-2-microglobulin	-0.0558453467477741	0.0867754000022649	330.002332620791	-0.643561962794946	0.520306498143809	fixedLGD	0	0.751553830652168	0.751553830652168	NS	2.88330781139778	-1.03946800086723
CD11c	0.0987078533394953	0.112851427702272	298.881482730173	0.874670842445246	0.38245533347668	fixedLGD	0	0.706643538132067	0.706643538132067	NS	4.81187930819071	1.07081396072882
CD127	-0.24640087307493	0.201122012022173	317.44856180746	-1.22513130510928	0.221433989301067	fixedLGD	0	0.689429629577859	0.689429629577859	NS	0.0933899266131337	-1.18624406819234
CD14	-0.164680800646202	0.139827943096497	330.83558285038	-1.17773884818254	0.239747241436419	fixedLGD	0	0.689429629577859	0.689429629577859	NS	3.02261268710333	-1.1209180450832
CD163	0.241751283207082	0.175715746745683	290.305803477694	1.37580887134136	0.169941312720064	fixedLGD	0	0.689429629577859	0.689429629577859	NS	0.562266488535327	1.18242713537443
CD20	-0.153409293854325	0.0951140438270714	315.662282034694	-1.6128984499202	0.107765824514885	fixedLGD	0	0.689429629577859	0.689429629577859	NS	2.20918232030256	-1.11219464336351
CD25	-0.0938466245421997	0.085690399815336	326.034571227654	-1.0951824795361	0.274245068462428	fixedLGD	0	0.689429629577859	0.689429629577859	NS	1.49266853039878	-1.06721187482957
CD27	0.0574803295328566	0.146845988782116	325.224187118963	0.391432752161473	0.69573372051918	fixedLGD	0	0.841352406209241	0.841352406209241	NS	0.477718107440102	1.04064668078056
CD3	0.146994327000922	0.133853782166507	258.960035131678	1.09817088932212	0.273149877978041	fixedLGD	0	0.689429629577859	0.689429629577859	NS	2.39282866613414	1.10726023048123
