Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
4-1BB	0.373887200809201	0.120739077807187	345.865378111117	3.09665443532935	0.00211712859162923	fixedIC	0	0.00550453433823599	0.00550453433823599	FDR < 0.05	0.374368118987773	1.29583964438243
ARG1	0.150288511127586	0.106116514611924	463.232327145386	1.41625939823978	0.157371633515375	fixedIC	0	0.255728904462485	0.255728904462485	NS	1.21834612767291	1.10979138670802
B7-H3	0.49406194108729	0.131437985383613	459.874130402694	3.75889770103618	0.000192642944777889	fixedIC	0	0.000770571779111555	0.000770571779111555	FDR < 0.05	3.10763422884685	1.40840469446962
Bcl-2	0.054414521982368	0.114335391578151	302.742012882557	0.475920196111583	0.63447448081883	fixedIC	0	0.687347354220399	0.687347354220399	NS	2.17934100847516	1.0384375964987
Beta-2-microglobulin	0.369761160242073	0.0900593636573628	358.815587805768	4.10574919948198	4.99414713604603e-05	fixedIC	0	0.000370993787249134	0.000370993787249134	FDR < 0.05	2.88330781139778	1.29213889790746
CD11c	0.570672039604193	0.111184277390691	238.047227002152	5.1326685121036	5.93290752438476e-07	fixedIC	0	1.02837063756002e-05	1.02837063756002e-05	FDR < 0.05	4.81187930819071	1.48521525598629
CD127	-0.0067195766817358	0.159350623678262	314.415187673658	-0.0421684994173793	0.966391139611056	fixedIC	0	0.989759674284372	0.989759674284372	NS	0.0933899266131337	-1.00466851936946
CD14	0.274627977161222	0.130437907277376	343.08174535418	2.10543072097304	0.0359803044378666	fixedIC	0	0.0719606088757331	0.0719606088757331	P < 0.05	3.02261268710333	1.20968211240543
CD163	0.181967414130048	0.159180528935014	346.907531930351	1.14315120918047	0.253764090051383	fixedIC	0	0.356641423855998	0.356641423855998	NS	0.562266488535327	1.13442986150178
CD20	0.375917817300975	0.0985957399837444	253.533830580068	3.81271865663722	0.000172641947088106	fixedIC	0	0.00074811510404846	0.00074811510404846	FDR < 0.05	2.20918232030256	1.29766484373723
CD25	0.332528707801764	0.0836317587988517	462.403503226366	3.97610563950414	8.12745401331535e-05	fixedIC	0	0.000528284510865498	0.000528284510865498	FDR < 0.05	1.49266853039878	1.25921855770634
CD27	0.142469460641737	0.121776120355394	214.344450797392	1.16992937717141	0.24332860934992	fixedIC	0	0.351474657949885	0.351474657949885	NS	0.477718107440102	1.10379286167834
CD3	0.24323703325621	0.128975029460646	184.162556350017	1.88592345567503	0.0608794799505091	fixedIC	0	0.11306189133666	0.11306189133666	NS	2.39282866613414	1.18364547746698
CD34	0.339171849394341	0.103200878870648	330.180781065452	3.28652093960809	0.0011233963008057	fixedIC	0	0.00324536709121647	0.00324536709121647	FDR < 0.05	5.89505350457022	1.26503021988714
CD4	0.0612522532100082	0.112964590203469	186.17522561911	0.5422252504053	0.588311760040611	fixedIC	0	0.65089811749174	0.65089811749174	NS	8.06111336075485	1.04337100954346
CD40	0.521937204934444	0.125271269083475	300.355860398736	4.16645579431825	4.04897321791269e-05	fixedIC	0	0.0003509110122191	0.0003509110122191	FDR < 0.05	0.484522805935585	1.43588201074316
CD44	-0.153014623399511	0.202119646487966	347.942891591526	-0.757049728011581	0.449532407428631	fixedIC	0	0.531265572415655	0.531265572415655	NS	17.0216099798731	-1.11189042776832
CD45	0.198483592044641	0.147446987544854	252.440031014598	1.34613528122615	0.179466458800612	fixedIC	0	0.281718430893387	0.281718430893387	NS	10.5555121540314	1.14749159948228
CD45RO	-0.0694608411735694	0.0969528349032907	340.654125375838	-0.71643950631104	0.474210873072462	fixedIC	0	0.536064465212348	0.536064465212348	NS	2.16026293301154	-1.04932446055628
