"Protein","term","estimate","std.error","statistic","p.value"
"4-1BB","(Intercept)",19.1566386136054,1.49963368933564,12.7742119624506,1.00496128310929e-34
"4-1BB","CancerTypeIM",0.989128613393786,2.34152143678351,0.42242987736748,0.672802083663871
"4-1BB","CancerTypeLGD",3.18189424061551,2.11812282870968,1.50222366592114,0.133355053195105
"4-1BB","CancerTypeHGD",-2.04774130362716,1.97535095976597,-1.03664682648079,0.300151085282169
"4-1BB","CancerTypeIC",7.09103376261072,2.10000962051287,3.37666727492369,0.000761947701864046
"ARG1","(Intercept)",61.452976178092,6.46219379389765,9.50961517683407,1.37515299569192e-20
"ARG1","CancerTypeIM",-9.3313789300656,10.0900409244368,-0.924810810971661,0.355287435568816
"ARG1","CancerTypeLGD",1.71919124777312,9.12737576898826,0.188355480401535,0.850636211987532
"ARG1","CancerTypeHGD",-0.655189059198597,8.51214586851839,-0.0769710798333203,0.93866194849843
"ARG1","CancerTypeIC",44.846539597213,9.04932266680109,4.95578964840538,8.45630465781297e-07
"B7-H3","(Intercept)",157.216586084762,20.7914201748331,7.56160881569137,8.99439845438408e-14
"B7-H3","CancerTypeIM",-28.7809992448523,32.4636318767368,-0.886561286615516,0.375528298211702
"B7-H3","CancerTypeLGD",-7.0774550400538,29.3663592827918,-0.241005531938754,0.809600232507335
"B7-H3","CancerTypeHGD",7.51300905184338,27.386922612714,0.274328341233767,0.783888964757342
"B7-H3","CancerTypeIC",259.591761468057,29.1152317407711,8.91601220211277,2.2522023301847e-18
"Bcl-2","(Intercept)",134.417184025033,5.56064174449907,24.1729624387342,4.94963950449731e-102
"Bcl-2","CancerTypeIM",-20.8739524344725,8.68236152575769,-2.40417913634976,0.0163898738938555
"Bcl-2","CancerTypeLGD",-16.79415473032,7.85399948337874,-2.1382933326977,0.0327347623960665
"Bcl-2","CancerTypeHGD",-31.2219702962661,7.32460139100842,-4.26261698480873,2.21158564443451e-05
"Bcl-2","CancerTypeIC",-25.6764296811021,7.78683570708972,-3.29741510505023,0.00101015486401774
"Beta-2-microglobulin","(Intercept)",151.908774504635,6.20765296013286,24.4712092444974,5.15043811227478e-104
"Beta-2-microglobulin","CancerTypeIM",-28.214894874959,9.69260198782482,-2.91097219409202,0.00368301074275604
"Beta-2-microglobulin","CancerTypeLGD",-22.821225777149,8.76785547101814,-2.60282869084508,0.00938265998583403
"Beta-2-microglobulin","CancerTypeHGD",-26.5340403377394,8.17685900223063,-3.24501625018861,0.00121339020672841
"Beta-2-microglobulin","CancerTypeIC",43.1597589637896,8.69287682037827,4.96495692457212,8.0756526539324e-07
"CD11c","(Intercept)",254.398150374671,14.3545640478767,17.7224574376608,2.50864353481688e-61
"CD11c","CancerTypeIM",-31.783257805884,22.4131530738521,-1.41806276435793,0.156483977220979
"CD11c","CancerTypeLGD",-6.76414394325987,20.2747711139062,-0.333623689523204,0.738733482380477
"CD11c","CancerTypeHGD",-9.59287351925203,18.9081520844981,-0.507340615644655,0.612027709298493
"CD11c","CancerTypeIC",125.249545679313,20.1013906350448,6.23088959133764,6.82406485630826e-10
"CD127","(Intercept)",7.48638793898179,1.00377490713155,7.45823379902509,1.89930452380659e-13
"CD127","CancerTypeIM",4.70616942525028,1.56728971846127,3.00274376193234,0.00274211235466415
"CD127","CancerTypeLGD",3.19906942428457,1.41775859051497,2.25642746634501,0.0242591396254398
"CD127","CancerTypeHGD",-1.99474220227685,1.32219470680851,-1.50865995152237,0.131701568203937
"CD127","CancerTypeIC",-1.87417283244036,1.40563457382683,-1.33332863842267,0.182727623126612
"CD14","(Intercept)",206.955470032053,10.1441046775723,20.4015511087551,1.26134321414423e-77
"CD14","CancerTypeIM",-55.7591155844634,15.8389603597357,-3.52037724181752,0.000450359374463769
"CD14","CancerTypeLGD",-51.219738469469,14.3278054148712,-3.57484883318604,0.000367177347511656
"CD14","CancerTypeHGD",-61.6074684814302,13.3620410459611,-4.61063308139233,4.53413880190862e-06
"CD14","CancerTypeIC",-7.2585455496022,14.20528064012,-0.5109751601177,0.609481238644594
"CD163","(Intercept)",33.6395845354078,3.23718573788356,10.391613969423,4.32936604144567e-24
"CD163","CancerTypeIM",-3.4019645608821,5.0545275516331,-0.673052926535723,0.501069126127504
"CD163","CancerTypeLGD",0.740981048953007,4.57228792667507,0.162059139939563,0.871292020529116
"CD163","CancerTypeHGD",1.90291557351804,4.26409329141029,0.446264995503577,0.655502451949634
"CD163","CancerTypeIC",21.1211210189264,4.5331878319926,4.65922035479445,3.60280745302253e-06
"CD20","(Intercept)",123.928948698239,5.22970327965345,23.697128129696,6.99292243093846e-99
"CD20","CancerTypeIM",-8.45250776525289,8.1656356645005,-1.03513163120901,0.300857693543014
"CD20","CancerTypeLGD",-19.989242646409,7.38657312301324,-2.70615917740413,0.00692250512438448
"CD20","CancerTypeHGD",-26.1148059055835,6.88868186025562,-3.79097285015489,0.000159038449562085
