Protein	Est	SE	df	t	pval	beta	isSingular	FDR	padj	sig_level	Median	relativeFC
4-1BB	-0.279891665884042	0.098512652474168	455.889568063171	-2.84117480196197	0.00469615981220616	fixedHGD	0	0.03488575860496	0.03488575860496	FDR < 0.05	0.374368118987773	-1.2141037121188
ARG1	-0.152596052573022	0.0770741179400296	463.756879775192	-1.9798611602893	0.0483098617027264	fixedHGD	0	0.147771341678928	0.147771341678928	P < 0.05	1.21834612767291	-1.11156788047009
B7-H3	0.111217617260954	0.0882027645410882	455.146430380663	1.2609311946129	0.207979595242836	fixedHGD	0	0.373418089946084	0.373418089946084	NS	3.10763422884685	1.08013947663823
Bcl-2	-0.190777153445549	0.0923844918855533	463.822824751489	-2.06503439648599	0.0394748848334117	fixedHGD	0	0.136846267422494	0.136846267422494	P < 0.05	2.17934100847516	-1.14137838997058
Beta-2-microglobulin	-0.0503692016735212	0.0695141648563637	461.364463021396	-0.724589035595816	0.469071481385441	fixedHGD	0	0.641887290316919	0.641887290316919	NS	2.88330781139778	-1.03552989352875
CD11c	-0.0391494192581237	0.0917078373055403	436.309126475913	-0.426892841532079	0.669667947526399	fixedHGD	0	0.809831006310994	0.809831006310994	NS	4.81187930819071	-1.02750785238133
CD127	-0.557100721733216	0.149351961529463	434.211869466815	-3.73011988612762	0.000216773732861032	fixedHGD	0	0.00375741136959122	0.00375741136959122	FDR < 0.05	0.0933899266131337	-1.47130946171873
CD14	-0.14474167526999	0.106147860111298	461.883366820555	-1.3635854280833	0.173362294321262	fixedHGD	0	0.346724588642525	0.346724588642525	NS	3.02261268710333	-1.10553268216684
CD163	0.0283876014351157	0.128289512151565	432.939197513713	0.221277647400964	0.824980578439515	fixedHGD	0	0.893728959976141	0.893728959976141	NS	0.562266488535327	1.01987164984951
CD20	-0.13082782341988	0.0786289857139044	434.929579476873	-1.66386253405206	0.0968601892074936	fixedHGD	0	0.251836491939483	0.251836491939483	NS	2.20918232030256	-1.09492179096596
CD25	-0.0631098754514587	0.064562989778816	454.21599550801	-0.977493075640773	0.328845422849218	fixedHGD	0	0.488570342518838	0.488570342518838	NS	1.49266853039878	-1.04471532520674
CD27	-0.166164925211032	0.114140485075224	453.288811503975	-1.45579305275881	0.146142062772096	fixedHGD	0	0.306080388479205	0.306080388479205	NS	0.477718107440102	-1.12207174557397
CD3	-0.116468032101903	0.115026792822152	431.974783971009	-1.01252959631743	0.311851695888824	fixedHGD	0	0.476949652535848	0.476949652535848	NS	2.39282866613414	-1.08407760098183
CD34	-0.107342801173426	0.0849251964774018	462.93228710621	-1.26396882934489	0.206877286253839	fixedHGD	0	0.373418089946084	0.373418089946084	NS	5.89505350457022	-1.07724231112643
CD4	-0.0409252078932183	0.101802403712228	433.397283360482	-0.402006302414081	0.687877563740057	fixedHGD	0	0.812946211692795	0.812946211692795	NS	8.06111336075485	-1.02877337290574
CD40	-0.169622876777215	0.106213277029152	455.796290065031	-1.59700257370516	0.110958158318969	fixedHGD	0	0.274753534885067	0.274753534885067	NS	0.484522805935585	-1.12476443069969
CD44	0.0505824541712159	0.167616146792353	459.579235006348	0.301775545728771	0.762959680491685	fixedHGD	0	0.858400680977386	0.858400680977386	NS	17.0216099798731	1.03568297207395
